image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim04,sparse,gauss_seidel,0.0,4.5085593020567334e-17,4.508559302056734e-17,4.508559302056734e-17
kodak_kodim04,sparse,gauss_seidel,0.01,1.116328884165688e-06,1.1304045314150362e-06,1.1176122336578082e-06
kodak_kodim04,sparse,gauss_seidel,0.03,1.0005779092625432e-05,1.0200565367124602e-05,9.966473236235171e-06
kodak_kodim04,sparse,gauss_seidel,0.07,5.478143485126817e-05,5.503980342045941e-05,5.488988405204795e-05
kodak_kodim04,sparse,gauss_seidel,0.12,0.00015947475600303047,0.0001630197814659546,0.00016072950338553445
kodak_kodim04,sparse,gaussian,0.0,1.933417241634985e-32,1.933417241634985e-32,1.933417241634985e-32
kodak_kodim04,sparse,gaussian,0.01,1.116328899473006e-06,1.1304044740020504e-06,1.1176121860881042e-06
kodak_kodim04,sparse,gaussian,0.03,1.0005778308079872e-05,1.0200564470169402e-05,9.966472497356967e-06
kodak_kodim04,sparse,gaussian,0.07,5.478143473026961e-05,5.5039803489310594e-05,5.488988413816226e-05
kodak_kodim04,sparse,gaussian,0.12,0.00015947475494832163,0.0001630197811107058,0.00016072950288871683
kodak_kodim04,sparse,gmres,0.0,6.873017007231324e-18,6.873017007231324e-18,6.873017007231324e-18
kodak_kodim04,sparse,gmres,0.01,1.1163288281880383e-06,1.1304043090616535e-06,1.117612142105533e-06
kodak_kodim04,sparse,gmres,0.03,1.0005778380344746e-05,1.020056459736756e-05,9.966472519395332e-06
kodak_kodim04,sparse,gmres,0.07,5.4781434964841024e-05,5.503980370466102e-05,5.4889884615967225e-05
kodak_kodim04,sparse,gmres,0.12,0.00015947475391060693,0.00016301977975165894,0.00016072950194766087
kodak_kodim04,sparse,lu,0.0,9.815023205239927e-33,9.815023205239927e-33,9.815023205239927e-33
kodak_kodim04,sparse,lu,0.01,1.116328899473006e-06,1.1304044740020506e-06,1.1176121860881027e-06
kodak_kodim04,sparse,lu,0.03,1.0005778308079872e-05,1.0200564470169402e-05,9.966472497356964e-06
kodak_kodim04,sparse,lu,0.07,5.4781434730269615e-05,5.50398034893106e-05,5.488988413816227e-05
kodak_kodim04,sparse,lu,0.12,0.00015947475494832166,0.00016301978111070583,0.00016072950288871686
kodak_kodim04,sparse,np_solve,0.0,2.4919539848745825e-32,2.4919539848745825e-32,2.4919539848745825e-32
kodak_kodim04,sparse,np_solve,0.01,1.1163288994730064e-06,1.1304044740020508e-06,1.1176121860881059e-06
kodak_kodim04,sparse,np_solve,0.03,1.0005778308079869e-05,1.0200564470169392e-05,9.966472497356964e-06
kodak_kodim04,sparse,np_solve,0.07,5.478143473026961e-05,5.5039803489310594e-05,5.4889884138162255e-05
kodak_kodim04,sparse,np_solve,0.12,0.00015947475494832166,0.0001630197811107058,0.00016072950288871686
kodak_kodim05,dense,gauss_seidel,0.0,3.678770228886102e-17,3.678770228886102e-17,3.678770228886102e-17
kodak_kodim05,dense,gauss_seidel,0.01,2.0088948380794793e-07,2.0231619622103133e-07,2.0024078129477594e-07
kodak_kodim05,dense,gauss_seidel,0.03,1.8048261718297848e-06,1.8202871701771468e-06,1.8142080848433895e-06
kodak_kodim05,dense,gauss_seidel,0.07,9.704119453021827e-06,9.915883427307735e-06,9.792451485415975e-06
